timestamp,client_id,seq,client_ts,inter_arrival_ms,jitter_ms,raw_steering,filtered_steering,throttle,brake,handbrake
44032.66130626126,node_viva_demo,1,44032.6587469,16.6,0.0,1.96,1.96,180,0,0
44032.67972176322,node_viva_demo,2,44032.675346899996,18.42,1.82,2.88,2.29,180,0,0
44032.695825108116,node_viva_demo,3,44032.6919469,16.1,0.5,2.55,2.38,180,0,0
44032.709842550415,node_viva_demo,4,44032.7085469,14.02,2.58,3.01,2.6,180,0,0
44032.728564284575,node_viva_demo,5,44032.7251469,18.72,2.12,1.34,2.16,180,0,0
44032.74398085565,node_viva_demo,6,44032.7417469,15.42,1.18,7.31,3.96,180,0,0
44032.760917228305,node_viva_demo,7,44032.758346899995,16.94,0.34,3.89,3.93,180,0,0
44032.776955802765,node_viva_demo,8,44032.7749469,16.04,0.56,6.68,4.89,180,0,0
44032.79372273647,node_viva_demo,9,44032.7915469,16.77,0.17,10.12,6.72,180,0,0
44032.81106823738,node_viva_demo,10,44032.808146899995,17.35,0.75,6.2,6.54,180,0,0
44032.827408124875,node_viva_demo,11,44032.8247469,16.34,0.26,7.43,6.85,180,0,0
44032.8433740782,node_viva_demo,12,44032.8413469,15.97,0.63,10.33,8.07,180,0,0
44032.86141509104,node_viva_demo,13,44032.857946899996,18.04,1.44,8.74,8.3,180,0,0
44032.87686437131,node_viva_demo,14,44032.8745469,15.45,1.15,11.25,9.34,180,0,0
44032.894615102814,node_viva_demo,15,44032.8911469,17.75,1.15,12.92,10.59,180,0,0
44032.90999179441,node_viva_demo,16,44032.9077469,15.38,1.22,11.09,10.77,180,0,0
44032.92650380764,node_viva_demo,17,44032.9243469,16.51,0.09,16.02,12.61,180,0,0
44032.94401953644,node_viva_demo,18,44032.940946899995,17.52,0.92,11.1,12.08,180,0,0
44032.95914613394,node_viva_demo,19,44032.9575469,15.13,1.47,12.15,12.11,180,0,0
44032.97623977762,node_viva_demo,20,44032.9741469,17.09,0.49,11.95,12.05,180,0,0
44032.994452587314,node_viva_demo,21,44032.990746899995,18.21,1.61,17.09,13.81,180,0,0
44033.00916242246,node_viva_demo,22,44033.0073469,14.71,1.89,15.77,14.5,180,0,0
44033.026951393105,node_viva_demo,23,44033.0239469,17.79,1.19,18.61,15.93,180,0,0
44033.04286689594,node_viva_demo,24,44033.040546899996,15.92,0.68,14.5,15.43,180,0,0
44033.05832281158,node_viva_demo,25,44033.0571469,15.46,1.14,15.79,15.56,180,0,0
44033.07633482298,node_viva_demo,26,44033.0737469,18.01,1.41,16.46,15.87,180,0,0
44033.094286568856,node_viva_demo,27,44033.0903469,17.95,1.35,19.85,17.27,180,0,0
44033.10957748916,node_viva_demo,28,44033.1069469,15.29,1.31,20.12,18.27,180,0,0
44033.12471594987,node_viva_demo,29,44033.123546899995,15.14,1.46,15.43,17.27,180,0,0
44033.14328152967,node_viva_demo,30,44033.1401469,18.57,1.97,19.36,18.0,180,0,0
44033.160509731926,node_viva_demo,31,44033.1567469,17.23,0.63,19.55,18.54,180,0,0
44033.177167026275,node_viva_demo,32,44033.173346899996,16.66,0.06,17.64,18.23,180,0,0
44033.19215755727,node_viva_demo,33,44033.1899469,14.99,1.61,20.88,19.16,180,0,0
44033.20909273248,node_viva_demo,34,44033.2065469,16.94,0.34,16.83,18.34,180,0,0
44033.22530094003,node_viva_demo,35,44033.223146899996,16.21,0.39,22.03,19.63,180,0,0
44033.24158524471,node_viva_demo,36,44033.2397469,16.28,0.32,22.14,20.51,180,0,0
44033.259504219954,node_viva_demo,37,44033.2563469,17.92,1.32,20.5,20.51,180,0,0
44033.275808276754,node_viva_demo,38,44033.2729469,16.3,0.3,20.59,20.54,180,0,0
44033.29142356685,node_viva_demo,39,44033.2895469,15.62,0.98,22.57,21.25,180,0,0
44033.3074981818,node_viva_demo,40,44033.306146899995,16.07,0.53,19.29,20.56,180,0,0
44033.32591447368,node_viva_demo,41,44033.3227469,18.42,1.82,21.35,20.84,180,0,0
44033.34204525624,node_viva_demo,42,44033.3393469,16.13,0.47,22.72,21.5,180,0,0
44033.35895761153,node_viva_demo,43,44033.355946899996,16.91,0.31,19.71,20.87,180,0,0
44033.37580385134,node_viva_demo,44,44033.3725469,16.85,0.25,19.71,20.46,180,0,0
44033.391756581885,node_viva_demo,45,44033.3891469,15.95,0.65,19.62,20.17,180,0,0
44033.408132351666,node_viva_demo,46,44033.405746899996,16.38,0.22,23.69,21.4,180,0,0
44033.42745610047,node_viva_demo,47,44033.4223469,19.32,2.72,23.72,22.21,180,0,0
44033.44073701799,node_viva_demo,48,44033.438946899994,13.28,3.32,25.5,23.36,180,0,0
44033.45671157432,node_viva_demo,49,44033.4555469,15.97,0.63,23.44,23.39,180,0,0
44033.47337577573,node_viva_demo,50,44033.4721469,16.66,0.06,22.24,22.99,180,0,0
44033.49204988164,node_viva_demo,51,44033.488746899995,18.67,2.07,16.93,20.87,180,0,0
44033.508688788694,node_viva_demo,52,44033.5053469,16.64,0.04,21.5,21.09,180,0,0
44033.52580490332,node_viva_demo,53,44033.5219469,17.12,0.52,21.72,21.31,180,0,0
44033.542018401604,node_viva_demo,54,44033.538546899996,16.21,0.39,23.72,22.15,180,0,0
44033.55802468682,node_viva_demo,55,44033.5551469,16.01,0.59,23.42,22.6,180,0,0
44033.573236345626,node_viva_demo,56,44033.5717469,15.21,1.39,21.48,22.21,180,0,0
44033.59125867375,node_viva_demo,57,44033.5883469,18.02,1.42,21.05,21.8,180,0,0
44033.60735049389,node_viva_demo,58,44033.6049469,16.09,0.51,19.07,20.85,180,0,0
44033.623245694565,node_viva_demo,59,44033.621546899994,15.9,0.7,19.53,20.38,180,0,0
44033.640305667825,node_viva_demo,60,44033.6381469,17.06,0.46,19.57,20.1,180,0,0
44033.65831107533,node_viva_demo,61,44033.6547469,18.01,1.41,18.76,19.63,180,0,0
44033.67343779544,node_viva_demo,62,44033.671346899995,15.13,1.47,18.83,19.35,180,0,0
44033.69064343712,node_viva_demo,63,44033.6879469,17.21,0.61,18.49,19.05,180,0,0
44033.7080276311,node_viva_demo,64,44033.7045469,17.38,0.78,18.61,18.9,180,0,0
44033.723720624825,node_viva_demo,65,44033.721146899996,15.69,0.91,12.29,16.58,180,0,0
44033.73958902049,node_viva_demo,66,44033.7377469,15.87,0.73,17.05,16.75,180,0,0
44033.75744507212,node_viva_demo,67,44033.7543469,17.86,1.26,13.54,15.62,180,0,0
44033.773943862514,node_viva_demo,68,44033.7709469,16.5,0.1,13.76,14.97,180,0,0
44033.790668969006,node_viva_demo,69,44033.7875469,16.73,0.13,15.55,15.17,180,0,0
44033.80566295613,node_viva_demo,70,44033.804146899995,14.99,1.61,12.97,14.4,180,0,0
44033.82305886662,node_viva_demo,71,44033.8207469,17.4,0.8,15.75,14.88,180,0,0
44033.83955428354,node_viva_demo,72,44033.8373469,16.5,0.1,12.5,14.04,180,0,0
44033.85674231968,node_viva_demo,73,44033.853946899995,17.19,0.59,12.29,13.43,180,0,0
44033.87177473635,node_viva_demo,74,44033.8705469,15.03,1.57,13.96,13.61,180,0,0
44033.88983470524,node_viva_demo,75,44033.8871469,18.06,1.46,9.04,12.01,180,0,0
44033.90674445623,node_viva_demo,76,44033.903746899996,16.91,0.31,11.78,11.93,180,0,0
44033.922936473384,node_viva_demo,77,44033.9203469,16.19,0.41,6.96,10.19,180,0,0
44033.93882027001,node_viva_demo,78,44033.9369469,15.88,0.72,8.41,9.57,180,0,0
44033.95628634703,node_viva_demo,79,44033.9535469,17.47,0.87,8.77,9.29,180,0,0
44033.973001816834,node_viva_demo,80,44033.9701469,16.72,0.12,6.14,8.19,180,0,0
44033.98768614261,node_viva_demo,81,44033.986746899995,14.68,1.92,5.25,7.16,180,0,0
44034.006302771704,node_viva_demo,82,44034.0033469,18.62,2.02,5.76,6.67,180,0,0
44034.02102844562,node_viva_demo,83,44034.0199469,14.73,1.87,5.85,6.38,180,0,0
44034.03865494945,node_viva_demo,84,44034.036546899995,17.63,1.03,2.7,5.09,180,0,0
44034.05772208083,node_viva_demo,85,44034.0531469,19.07,2.47,4.48,4.88,180,0,0
44034.07128917052,node_viva_demo,86,44034.0697469,13.57,3.03,0.7,3.42,180,0,0
44034.09022085433,node_viva_demo,87,44034.086346899996,18.93,2.33,2.86,3.22,180,0,0
44034.106431862965,node_viva_demo,88,44034.1029469,16.21,0.39,0.09,2.13,180,0,0
44034.12208897637,node_viva_demo,89,44034.1195469,15.66,0.94,0.29,1.48,180,0,0
44034.13893990528,node_viva_demo,90,44034.1361469,16.85,0.25,-1.87,0.31,180,0,0
44034.15545059673,node_viva_demo,91,44034.1527469,16.51,0.09,-1.72,-0.4,180,0,0
44034.17118234332,node_viva_demo,92,44034.169346899995,15.73,0.87,-2.39,-1.09,180,0,0
44034.18907357337,node_viva_demo,93,44034.1859469,17.89,1.29,-4.04,-2.13,180,0,0
44034.2042198216,node_viva_demo,94,44034.2025469,15.15,1.45,-4.91,-3.1,180,0,0
44034.22049824335,node_viva_demo,95,44034.219146899995,16.28,0.32,-2.69,-2.96,180,0,0
44034.23967053275,node_viva_demo,96,44034.2357469,19.17,2.57,-7.03,-4.38,180,0,0
44034.2535048529,node_viva_demo,97,44034.2523469,13.83,2.77,-6.07,-4.97,180,0,0
44034.27169167786,node_viva_demo,98,44034.268946899996,18.19,1.59,-8.27,-6.13,180,0,0
44034.28719698169,node_viva_demo,99,44034.2855469,15.51,1.09,-9.06,-7.16,180,0,0
44034.304437770326,node_viva_demo,100,44034.3021469,17.24,0.64,-5.82,-6.69,180,0,0
44034.32100575585,node_viva_demo,101,44034.3187469,16.57,0.03,-8.64,-7.37,180,0,0
44034.33651313201,node_viva_demo,102,44034.3353469,15.51,1.09,-8.34,-7.71,180,0,0
44034.35429690631,node_viva_demo,103,44034.351946899995,17.78,1.18,-13.0,-9.56,180,0,0
44034.36985102706,node_viva_demo,104,44034.3685469,15.55,1.05,-12.05,-10.43,180,0,0
44034.387718343794,node_viva_demo,105,44034.3851469,17.87,1.27,-10.98,-10.62,180,0,0
44034.40378734712,node_viva_demo,106,44034.401746899995,16.07,0.53,-6.34,-9.12,180,0,0
44034.42304898782,node_viva_demo,107,44034.4183469,19.26,2.66,-14.15,-10.88,180,0,0
